material_familiarity,yrs_experience,Q1_Steel,Q1_Aluminium,Q1_Titanium,Q1_Glass,Q1_Wood,Q1_Thermoplastic,Q1_Elastomer,Q1_Thermoset,Q1_Composite,Q2_Steel,Q2_Aluminium,Q2_Titanium,Q2_Glass,Q2_Wood,Q2_Thermoplastic,Q2_Elastomer,Q2_Thermoset,Q2_Composite,Q3_Steel,Q3_Aluminium,Q3_Titanium,Q3_Glass,Q3_Wood,Q3_Thermoplastic,Q3_Elastomer,Q3_Thermoset,Q3_Composite,Q4_Steel,Q4_Aluminium,Q4_Titanium,Q4_Glass,Q4_Wood,Q4_Thermoplastic,Q4_Elastomer,Q4_Thermoset,Q4_Composite,Q5_Steel,Q5_Aluminium,Q5_Titanium,Q5_Glass,Q5_Wood,Q5_Thermoplastic,Q5_Elastomer,Q5_Thermoset,Q5_Composite,Q6_Steel,Q6_Aluminium,Q6_Titanium,Q6_Glass,Q6_Wood,Q6_Thermoplastic,Q6_Elastomer,Q6_Thermoset,Q6_Composite,Q7_Steel,Q7_Aluminium,Q7_Titanium,Q7_Glass,Q7_Wood,Q7_Thermoplastic,Q7_Elastomer,Q7_Thermoset,Q7_Composite,Q8_Steel,Q8_Aluminium,Q8_Titanium,Q8_Glass,Q8_Wood,Q8_Thermoplastic,Q8_Elastomer,Q8_Thermoset,Q8_Composite,Q9_Steel,Q9_Aluminium,Q9_Titanium,Q9_Glass,Q9_Wood,Q9_Thermoplastic,Q9_Elastomer,Q9_Thermoset,Q9_Composite,Q10_Steel,Q10_Aluminium,Q10_Titanium,Q10_Glass,Q10_Wood,Q10_Thermoplastic,Q10_Elastomer,Q10_Thermoset,Q10_Composite,Q11_Steel,Q11_Aluminium,Q11_Titanium,Q11_Glass,Q11_Wood,Q11_Thermoplastic,Q11_Elastomer,Q11_Thermoset,Q11_Composite,Q12_Steel,Q12_Aluminium,Q12_Titanium,Q12_Glass,Q12_Wood,Q12_Thermoplastic,Q12_Elastomer,Q12_Thermoset,Q12_Composite,Q13_Steel,Q13_Aluminium,Q13_Titanium,Q13_Glass,Q13_Wood,Q13_Thermoplastic,Q13_Elastomer,Q13_Thermoset,Q13_Composite,Q14_Steel,Q14_Aluminium,Q14_Titanium,Q14_Glass,Q14_Wood,Q14_Thermoplastic,Q14_Elastomer,Q14_Thermoset,Q14_Composite,Q15_Steel,Q15_Aluminium,Q15_Titanium,Q15_Glass,Q15_Wood,Q15_Thermoplastic,Q15_Elastomer,Q15_Thermoset,Q15_Composite,Q16_Steel,Q16_Aluminium,Q16_Titanium,Q16_Glass,Q16_Wood,Q16_Thermoplastic,Q16_Elastomer,Q16_Thermoset,Q16_Composite,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9
Yes,18,4,7,8,0,6,4,0,3,10,0,6,7,4,6,5,0,0,10,7,7,10,10,6,4,4,4,10,0,8,9,8,9,9,9,9,10,4,5,8,3,2,2,0,2,10,0,6,7,0,4,0,0,0,10,1,3,7,0,0,0,0,0,6,1,8,9,2,1,2,2,2,10,0,5,8,0,0,0,0,0,10,0,6,9,4,3,0,0,0,10,5,6,7,5,0,0,0,0,7,1,6,9,10,4,6,4,6,10,5,5,7,0,0,0,0,0,10,0,8,7,0,7,6,4,4,10,4,5,5,0,4,5,5,5,10,0,6,6,0,6,5,4,4,10,4,6,7,0,2,2,0,0,10
Yes,20,7,8,10,0,0,0,0,0,10,0,0,0,0,9,10,8,7,9,0,0,0,0,10,5,7,6,8,5,0,8,0,7,10,7,8,10,0,0,0,0,10,8,10,9,0,0,5,10,0,0,6,10,5,7,0,0,10,0,0,0,0,0,10,0,0,10,0,0,9,7,7,8,10,10,10,0,0,7,6,3,10,0,8,10,0,0,0,0,0,0,7,7,10,0,0,0,0,6,0,0,0,10,0,0,8,1,7,8,0,6,10,0,0,0,0,0,10,0,0,0,0,0,8,6,7,8,0,0,0,0,6,6,6,8,0,0,0,0,0,0,10,7,6,10,0,0,0,0,0,10,6,4,10
Yes,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,33,4,8,9,1,1,1,1,1,10,1,10,9,1,8,1,1,7,10,1,10,10,10,8,1,4,8,7,5,8,10,10,10,10,10,10,8,10,10,10,1,5,7,1,5,10,1,9,1,1,1,1,1,1,5,7,8,9,9,1,5,6,1,1,1,7,10,10,7,10,7,10,6,7,9,10,1,1,1,1,1,5,2,2,9,1,1,1,1,1,3,6,2,9,5,1,1,1,1,1,1,4,9,9,1,10,1,7,1,6,4,9,1,1,1,1,1,3,5,10,10,1,5,7,7,5,10,10,10,10,8,7,4,5,6,6,1,9,10,1,1,10,1,1,10,10,10,10,1,5,8,1,5,10
Yes,3,10,2,9,1,2,10,1,10,5,10,10,2,10,10,10,2,8,10,3,10,3,1,10,3,5,4,3,5,10,2,10,3,10,10,9,10,10,4,10,3,5,10,2,8,10,6,10,3,10,10,10,8,10,7,5,9,9,3,5,8,8,7,4,5,10,5,10,2,10,10,8,10,10,3,10,3,2,10,10,9,10,5,10,5,10,2,10,10,9,10,10,10,3,5,1,10,5,2,10,6,10,10,10,1,9,10,10,3,10,3,10,5,1,10,10,10,8,1,2,5,1,10,10,10,10,9,2,2,1,2,10,10,5,10,10,2,10,3,10,5,10,10,6,10,10,2,10,2,3,10,10,8,10
Yes,3,3,7,7,1,3,2,2,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,5,5,9,6,1,1,5,1,5,10,,,,,,,,,,10,9,10,9,5,1,6,5,5,5,8,5,7,8,8,1,8,5,9,8,8,2,4,8,2,8,8,7,9,8,1,1,6,2,6,10,8,8,10,10,1,4,3,5,3,,,,,,,,,,9,10,9,1,1,6,3,5,10,7,9,8,1,1,9,4,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,5,1,5,0,0,0,0,0,10,0,2,0,0,0,2,0,2,10,3,3,3,2,0,0,0,2,10,0,2,0,2,0,6,2,2,10,10,0,0,0,0,5,0,5,5,2,0,5,0,0,0,0,0,10,2,0,6,0,0,0,0,0,10,2,0,5,0,0,0,0,0,10,8,0,5,0,0,0,0,0,8,5,2,4,2,0,0,0,4,10,10,0,2,0,0,0,0,0,10,5,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,6,0,0,0,0,0,10,6,0,10,0,0,0,0,0,5,0,10,10,0,0,0,0,0,10,2,2,10,0,0,0,0,0,10,0,0,6
Yes,10,8,10,10,1,8,9,3,3,10,9,10,10,3,10,7,4,5,10,10,8,10,5,9,6,1,6,6,10,10,10,10,10,10,10,10,10,10,10,10,7,9,6,4,7,10,10,10,10,2,1,8,1,5,10,10,5,10,1,1,1,1,10,10,10,10,10,10,1,1,1,8,10,10,10,10,1,1,1,1,1,10,10,10,10,3,5,5,5,5,7,10,9,9,7,1,4,5,5,5,10,10,10,10,1,3,1,10,10,10,10,10,7,1,7,7,5,8,8,10,10,1,4,7,2,6,10,10,9,10,1,1,2,2,2,10,10,10,10,1,3,10,10,10,10,10,10,10,1,5,7,1,7,10
Yes,3,5,6,6,1,1,4,3,2,3,,,,,,,,,,10,9,10,9,8,8,9,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,6,9,1,9,7,9,9,,,,,,,,,,4,8,8,1,0,2,2,2,6,,,,,,,,,,,,,,,,,,,10,6,10,1,1,1,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,1,10,10,8,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,10,0,0,5,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,7,0,1,7,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,5,0,0,10,2,10,10,,,,,,,,,
Yes,65,2,3,5,4,2,2,1,2,7,3,5,4,6,5,7,8,7,7,7,7,6,9,5,7,6,8,4,5,6,6,9,8,8,7,8,8,7,7,6,2,1,4,3,4,7,6,5,7,4,1,2,1,3,5,7,7,7,7,2,5,3,4,6,3,7,6,7,3,6,4,7,6,,,,,,,,,,8,7,7,6,1,4,1,1,5,7,5,6,8,1,4,1,4,3,7,7,7,4,5,5,2,2,6,9,8,7,2,1,3,3,3,4,1,2,2,5,1,5,6,6,7,2,2,2,8,1,5,3,7,7,,,,,,,,,,1,2,2,3,1,7,4,7,8
No,0,3,8,7,0,2,1,1,2,5,,,,,,,,,,10,8,8,7,6,4,0,6,5,,,,,,,,,,,,,,,,,,,2,9,9,2,0,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,6,1,0,1,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,6,0,1,2,0,6,5,6,5,7,0,0,3,2,6,7
No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,7,5,8,4,1,1,3,3,3,5,5,10,4,2,7,7,7,6,6,,,,,,,,,,,,,,,,,,,8,4,9,1,6,6,6,4,6,5,10,4,1,2,6,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,10,2,2,3,3,9,4,,,,,,,,,,9,6,10,3,2,8,4,8,3,,,,,,,,,,7,3,9,4,1,4,4,7,4,,,,,,,,,,,,,,,,,,
Yes,2,9,5,8,0,1,2,5,4,8,,,,,,,,,,,,,,,,,,,7,9,10,9,9,10,8,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,9,0,0,1,4,4,5,3,2,3,1,1,3,2,2,9,7,6,9,9,6,7,6,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,0,3,6,5,5,9,10,5,10,1,1,5,2,4,8
Yes,4,6,9,9,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,12,10,9,1,0,10,7,0,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,34,2,4,7,0,0,2,1,2,5,0,6,8,0,5,5,5,6,7,2,7,10,9,6,6,6,8,6,1,6,9,5,7,7,8,7,8,2,2,3,0,2,9,5,9,4,1,6,10,1,0,4,5,4,7,,,,,,,,,,,,,,,,,,,1,3,9,0,0,1,0,1,4,1,4,8,0,1,2,2,2,2,2,2,9,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,3,4,8,1,3,3,3,3,6,1,4,6,3,2,7,4,7,5,,,,,,,,,,3,3,10,1,1,2,2,2,3
Yes,20,0,10,0,0,0,0,0,0,0,0,6,0,0,0,10,10,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,10,0,0,10,4,10,10,5,4,10,0,0,0,0,0,0,,,,,,,,,,0,0,10,0,0,0,0,0,0,,,,,,,,,,0,0,10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,20,4,7,9,1,2,1,0,1,10,4,4,1,5,9,8,9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,9,1,0,0,0,4,10,6,6,10,8,0,1,4,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,7,9,0,1,1,2,7,,,,,,,,,,9,7,8,2,1,2,0,3,9,1,2,1,0,1,8,0,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,1,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,,,,,,,,,
Yes,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,19,5,10,8,0,0,2,0,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,20,1,8,4,1,1,1,1,1,10,1,1,1,1,6,1,1,1,9,1,1,1,1,9,5,1,1,9,1,5,1,1,10,1,1,1,8,1,1,1,1,9,4,1,1,1,1,9,1,1,1,1,1,1,10,,,,,,,,,,1,8,8,1,1,1,1,1,8,,,,,,,,,,1,10,1,1,1,1,1,1,9,,,,,,,,,,,,,,,,,,,1,1,10,1,1,1,1,1,7,,,,,,,,,,1,4,1,1,1,1,1,1,10,,,,,,,,,,,,,,,,,,
No,0,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,6,5,10,3,0,5,2,0,2,10,1,7,1,1,7,6,7,6,5,,,,,,,,,,,,,,,,,,,9,8,10,3,5,5,1,7,10,,,,,,,,,,7,4,10,5,1,0,0,3,9,,,,,,,,,,,,,,,,,,,1,7,3,2,0,6,5,6,8,5,7,9,4,1,2,7,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,10,5,1,2,2,3,8,2,8,8,0,4,6,4,9,10,8,6,10,2,5,5,1,7,9
No,0,3,7,7,1,1,1,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,9,0,0,2,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,10,0,0,4,5,0,10
Yes,25,7,7,1,6,1,7,7,7,7,,,,,,,,,,,,,,,,,,,10,10,6,10,2,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,3,8,5,5,5,5,3,,,,,,,,,
Yes,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,25,4,5,9,0,0,6,0,6,9,,,,,,,,,,5,6,5,4,9,3,8,6,7,,,,,,,,,,8,8,9,3,5,8,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,10,0,0,8,0,0,8,3,3,8,0,0,6,0,7,9,3,3,5,0,3,3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,8,0,3,4,2,5,6,,,,,,,,,,0,5,7,0,0,8,6,7,9
Yes,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,23,10,8,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,1,1,9,0,0,0,0,1,0,3,0,3,0,1,10,2,3,2,6,3,7,0,1,5,8,5,2,5,2,5,0,3,10,8,1,0,7,1,4,0,2,10,5,2,1,9,0,9,0,2,0,3,5,8,7,1,5,0,0,2,4,5,6,6,3,2,0,9,0,1,0,8,10,4,0,2,3,0,6,1,2,9,0,0,0,6,0,1,7,1,9,3,4,0,1,0,10,0,8,8,8,4,3,3,0,5,3,3,10,6,4,1,2,0,8,1,8,10,0,10,0,0,0,0,3,3,10,0,1,0,2,1,8,1,8,4,2,2,0,6,0,2,2,9,9,5,7,2,0,0,5,6,4,7
Yes,1,3,9,8,1,5,6,6,6,8,,,,,,,,,,3,1,2,1,10,8,6,8,5,8,1,6,3,8,9,6,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,8,1,0,5,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,40,2,9,1,1,1,1,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,9,8,3,8,9,8,9,,,,,,,,,,,,,,,,,,,8,1,9,1,1,1,1,1,1,3,5,9,9,1,7,9,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,5,4,7,8,,,,,,,,,
Yes,0,2,8,1,0,2,6,0,4,10,,,,,,,,,,,,,,,,,,,2,2,1,4,8,9,1,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,9,4,1,2,1,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,25,3,8,7,1,1,2,1,3,9,3,9,10,1,8,8,3,8,10,9,7,9,10,4,4,4,5,4,2,4,10,10,8,8,8,8,8,10,7,9,4,2,3,2,3,9,1,9,10,1,6,4,4,4,10,6,4,9,9,1,1,1,2,2,5,9,10,10,9,6,6,6,9,8,6,9,5,3,2,3,3,8,1,5,10,1,4,4,4,4,8,1,4,10,10,3,1,2,3,3,1,4,9,10,3,8,8,8,8,2,5,10,4,3,3,2,3,9,2,8,10,1,5,5,5,5,10,8,7,9,10,1,3,3,6,6,1,3,10,10,5,9,9,9,9,10,7,8,6,5,5,4,5,9
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,0,5,4,4,0,1,1,1,1,2,0,0,1,0,0,1,1,1,1,0,0,1,0,2,2,1,1,2,,,,,,,,,,3,2,2,0,0,1,1,1,2,0,1,1,0,0,0,1,1,1,2,2,1,2,1,3,1,4,3,0,1,1,2,1,2,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,2,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,2,0,0,1,1,1,2
Yes,27,4,8,8,1,1,3,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,6,1,1,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,40,1,8,9,0,0,4,0,0,0,5,7,5,0,8,7,10,6,0,5,5,9,1,7,5,10,9,6,8,9,10,0,5,10,10,9,5,10,6,10,0,4,7,9,8,8,0,5,6,4,3,5,4,4,4,9,7,10,10,0,7,9,8,10,0,0,10,0,1,10,5,5,0,9,5,10,0,1,5,5,5,0,5,7,10,0,0,7,5,5,5,10,7,10,0,0,0,1,0,0,8,8,10,0,0,0,8,0,0,10,8,10,0,0,0,5,5,7,4,4,8,0,0,10,9,9,8,0,4,10,0,4,0,5,0,4,4,4,9,0,5,10,10,10,10,8,5,8,0,0,9,9,10,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
